business_id,name,categories,avg_stars
crGdKSRKi25R2vorZ7skzg,Tortilleria San Diego,"['Restaurants', 'Mexican']",4.5
l_eFv9Q9Q8RBLqfJJXi9ug,Subway,"['Sandwiches', 'Restaurants', 'Fast Food']",2.0
ZPZYNq9fNu2GyeCSz7U-fg,Five Star Tavern,"['Bars', 'Casinos', 'American (New)', 'Arts & Entertainment', 'Restaurants', 'Nightlife']",3.0
AYe8rS3qBPuLHSwNOZSbcA,Sushi Loca,"['Food', 'Sushi Bars', 'Restaurants']",3.0
5_MrPFw9E0cMJ1Q0DJFZOQ,Tilted Kilt Pub & Eatery,"['Pubs', 'Sports Bars', 'Bars', 'Restaurants', 'Nightlife', 'American (Traditional)']",3.0
KPsu_1Q9XYRKWs_ZBTtlTg,Sky Lounge,"['Bars', 'Pizza', 'Lounges', 'Restaurants', 'Nightlife']",2.5
tSbs8i_9Hlaommupjgn63Q,Panda Express,"['Chinese', 'Fast Food', 'Restaurants']",3.0
wwEg_6bHfTrOpn_bygIQZg,Little Ceasars,"['Restaurants', 'Pizza']",2.0
oIoq6WQbyRpPZClMkHQNlQ,Delicia's Latina's,"['Restaurants', 'Cuban', 'Mexican', 'Food', 'Food Trucks']",3.0
OFw59czUoeeosFMKfRawmg,Gordon Biersch Brewery Restaurant,"['Nightlife', 'Breweries', 'Restaurants', 'Food', 'American (New)', 'Bars']",3.5
9CNObWIk7w8poCo5IAtgmw,Raising Cane's,"['Restaurants', 'Chicken Wings', 'Food', 'Chicken Shop', 'Fast Food', 'American (Traditional)']",4.0
7KkgMcbVaetryW1wwpzvvA,Cafe Rio,"['Restaurants', 'Mexican']",3.5
uIbZjRRqR1OR-t2NBCa1Wg,Pizza Hut,"['Pizza', 'Italian', 'Restaurants']",2.5
G54fcIaoI89tc6X285suRA,DD'Coffee Shop,"['American (New)', 'Music Venues', 'Burgers', 'Persian/Iranian', 'Nightlife', 'Arts & Entertainment', 'Mediterranean', 'Coffee & Tea', 'Bars', 'Restaurants', 'Breakfast & Brunch', 'Cocktail Bars', 'Food']",3.5
GisIy4El3OAxJwnkovgv_A,Hot Dog on a Stick,"['Hot Dogs', 'Restaurants']",3.0
pyqnGlIfP9Zw8LLxBjyAiA,Nobu,"['Sushi Bars', 'Japanese', 'Seafood', 'Restaurants']",4.0
tro-hrljuY1cUAVFYauTlQ,In-N-Out Burger,"['Burgers', 'Restaurants', 'Fast Food']",4.5
_QvGAqMmrUIlxpby2Ul5Dg,Dona Maria Tamales Restaurant,"['Food', 'Desserts', 'Mexican', 'Seafood', 'Restaurants']",3.5
YYRP-b61hjDljhWBfmUlDg,KFC,"['Restaurants', 'Fast Food', 'Chicken Wings']",2.0
BG8lvZoPTrPJqcvTh-ytzg,The Range Steakhouse,"['Restaurants', 'Seafood', 'Steakhouses']",4.0
JKTMgelIQ-VHn7SL5nyiWA,Buddha Thai Bistro,"['Chinese', 'Asian Fusion', 'Thai', 'Restaurants']",4.5
C4XsC2ZBtsl1EgjdVue3yA,Pinoy Pinay Filipino Restaurant,"['Filipino', 'Asian Fusion', 'Restaurants']",3.5
4Pb7SlTK89uSdqOwMNM35A,Tequila Taqueria,"['Burgers', 'Bars', 'Restaurants', 'Mexican', 'Nightlife', 'Tex-Mex', 'Cocktail Bars', 'Beer Bar']",3.0
J121PGT4oi5AqVbtMoEfVw,La Parrilla,"['Restaurants', 'Mexican']",3.5
LpGCzgAKNSpzDNEUMVVtZA,Grimaldi's Pizzeria,"['Pizza', 'Restaurants']",4.0
iFCz-xI7CV98fcaB4Chh3g,The Black Sheep,"['Cocktail Bars', 'Nightlife', 'Restaurants', 'Wine Bars', 'American (New)', 'Bars']",4.5
tyCOrWRRqrg6sym4lKkVZg,Huerta's Bakery,"['Desserts', 'Bakeries', 'Restaurants', 'Mexican', 'Food']",3.0
2GfKCR3S8I2m0iiyEd3sKA,Blue Agave,"['Restaurants', 'Mexican', 'Seafood']",1.5
82YGtjc5KKikNiqBZ33qzw,Kyara Japanese Tapas,"['Food', 'Restaurants', 'Japanese', 'Tapas Bars', 'Desserts']",4.0
zAhv5Pg3vUB_kzdCj0KtDg,The Chicken Shack,"['Restaurants', 'Fast Food', 'Chicken Wings', 'Chicken Shop']",3.5
DHUAQ4pzH9KKzGZDm1jZLg,Krispy Kreme Doughnuts,"['Donuts', 'Cafes', 'Restaurants', 'Coffee & Tea', 'Food']",3.0
kMGfuOZeBDNQJ4_pBjE26Q,Taqueria Del Paisano,"['Restaurants', 'Mexican']",4.5
VEcI0bURmJtf0B9UPSEMDA,Millano Pizzeria,"['Pizza', 'Restaurants']",4.0
luf0E5FPY-hv-uceL8QtBA,Fat Bar,"['American (New)', 'Sports Bars', 'American (Traditional)', 'Nightlife', 'Bars', 'Restaurants']",4.0
Rv1IiQaIIDunqzS8dSvHCw,Plumeria Thai Cafe,"['Asian Fusion', 'Restaurants', 'Thai', 'Hawaiian']",4.5
FT99KLluYZA7vFZEIypIwQ,Fracos & Froccs,"['Food', 'Desserts', 'Restaurants', 'American (New)']",3.5
tZW4NLpEYinu4mIxdKj0Pw,The Rose Grill,"['Restaurants', 'Burgers', 'Salad', 'Pizza']",3.5
gPzDw2Ms6JZRZhA2tyxItw,Burger King,"['Fast Food', 'Burgers', 'Restaurants']",2.5
GGvjkKM74UnOh2NyvwTLZQ,Jjanga Fusion Pocha,"['Bars', 'Restaurants', 'Nightlife', 'Pizza', 'Soup', 'Karaoke', 'Asian Fusion']",4.5
MXpCVzm1V5OH05KO6n7ntA,The Corndog Company LV,"['Food Trucks', 'Restaurants', 'Hot Dogs', 'Food', 'Street Vendors']",5.0
qtZ50TWkfNS2UtLLuD1m8Q,Freddy's Frozen Custard & Steakburgers,"['Hot Dogs', 'Burgers', 'Fast Food', 'Ice Cream & Frozen Yogurt', 'Restaurants', 'Food']",4.5
2oCM63whZH_IW6kzxciysg,Taqueria El Pastorcito 2,"['Mexican', 'Food Trucks', 'Street Vendors', 'Restaurants', 'Food']",3.5
V1EdIokE0YYN__dNYfXRdA,Pokeman,"['Hawaiian', 'Food', 'Japanese', 'Restaurants', 'Sushi Bars', 'Poke']",4.0
LV-oONzEA22qiBEFK1sckA,American Fish,"['Restaurants', 'Seafood', 'American (New)']",3.5
vuqHcBCbxH36hCFsZ1W-0Q,Mulligan's Pub,"['Nightlife', 'Irish', 'Bars', 'Restaurants', 'Irish Pub', 'Pubs']",3.5
0DQ31asd4IeOTI7dkZ3OXQ,Sea Harbour Seafood Restaurant,"['Chinese', 'Restaurants']",3.0
mDtlBsfTUPDuASvUcKWSbw,L&L Hawaiian Barbecue,"['Barbeque', 'Hawaiian', 'Restaurants']",4.0
16Fplxu-OwVmTEFxQAUP4g,TENDER Steak & Seafood,"['Nightlife', 'Restaurants', 'Steakhouses', 'Bars', 'American (Traditional)']",3.5
kaVWvc71cXH9MKuQmDtVUA,Pho Thai Binh,"['Vietnamese', 'Restaurants']",3.0
dP1_wP59hvVDWNzFFS_6YQ,Subway,"['Restaurants', 'Sandwiches', 'Fast Food']",2.0
T5nTtSCSRoEYMsZPhF61wg,Waffles Cafe,"['Breakfast & Brunch', 'Coffee & Tea', 'Restaurants', 'Food']",4.0
gKFDJ9IpFxt95DHxTN7ZHw,Gyro Time Restaurant,"['Restaurants', 'Mediterranean', 'Greek']",3.5
hJgdrSbwhkp3-GbAyS79Gg,Pit Boss BBQ,"['Barbeque', 'American (Traditional)', 'Restaurants']",4.0
GjbF1ZEbIpC2KqUbZ7KQWQ,Dynamite Grill,"['Restaurants', 'American (Traditional)', 'Sushi Bars']",3.0
vAuzGR-ufeLu3Y_U5UlO_w,Stick E Rice,"['Thai', 'Restaurants']",4.0
A1ZRCrjOMOwQGj2hCYWDEQ,KFC,"['Chicken Wings', 'Restaurants', 'Fast Food']",1.5
beuVp5CZxCdNvQIIPBS2rw,Chubby Cattle,"['Do-It-Yourself Food', 'Barbeque', 'Restaurants', 'Hot Pot', 'Chinese', 'Fondue', 'Mongolian', 'Food']",4.5
oL_fYqSHG63vR0TBMyoo_A,Green Leaf's & Bananas,"['Soup', 'Restaurants', 'Ice Cream & Frozen Yogurt', 'Food', 'Salad', 'Juice Bars & Smoothies']",2.0
_8VkSb_Mryb6bHQxSWB7Pg,Swish Shabu Shabu,"['Hot Pot', 'Sushi Bars', 'Japanese', 'Restaurants', 'Fondue']",3.5
39BNnMLzx0UUwkWKxGeQKA,La Cosina Mexican Restaurant,"['Mexican', 'Restaurants']",4.0
UEuvtQTKNS0w53oJTrwS2Q,Sin City Sandwich,"['Sandwiches', 'Food', 'Caterers', 'Coffee & Tea', 'Restaurants', 'Event Planning & Services']",4.5
wjf1uZNr6E4LQ0nUNHX5AA,Rivas Mexican Grill #2,"['Restaurants', 'Mexican']",3.5
kUntNQ5P9IrRzEoHdRxV-w,Mark Rich's New York Pizza & Pasta,"['Restaurants', 'Pizza']",3.0
6WWXpMwIB7gTc4yZrkM-fQ,Hot Dog On A Stick,"['Fast Food', 'Food', 'Hot Dogs', 'Restaurants']",3.5
Ekxhn3gyMfoXslnVxhZn3w,Taco Bell,"['Fast Food', 'Tex-Mex', 'Restaurants', 'Mexican']",3.0
jxbEwtV8Et1lm8ubk4AGuw,Mimosas Gourmet,"['Restaurants', 'Breakfast & Brunch']",4.5
3weo8OctYcKoS_AV9OrOgw,Juice NV,"['Juice Bars & Smoothies', 'Restaurants', 'Vegan', 'Food', 'Vegetarian']",3.5
Xqur5VuobC9WW3crdxZPBw,Amlee Chinese Cuisine,"['Soup', 'Chinese', 'Restaurants', 'Salad']",3.5
gtVPsVK83JkeyrN1C1ozeQ,Pizza Lotto,"['Pizza', 'Chicken Wings', 'Italian', 'Restaurants']",4.0
Km7BcCSXb78oymx-Ek2P9w,Husongs Cantina,"['Mexican', 'Restaurants']",5.0
AnXovUgUHJap3QaDRnjL1w,Blueberry Hill Family Restaurant,"['Breakfast & Brunch', 'Diners', 'American (New)', 'Restaurants']",4.0
VYOtofDcgJIV5-vPUd4sZA,Cicis,"['American (Traditional)', 'Restaurants', 'Pizza']",3.0
B19KKE75ZxqoR3EDuvA1qw,China Star,"['Restaurants', 'Chinese']",3.0
nM9NwHXy3EadihjJTG2i5w,Pancho's Vegan Tacos,"['Vegan', 'Mexican', 'Restaurants', 'Tacos']",4.5
p5rpYtxS5xPQjt3MXYVEwA,Greens and Proteins,"['Juice Bars & Smoothies', 'Cafes', 'Vegetarian', 'American (New)', 'American (Traditional)', 'Sandwiches', 'Vegan', 'Food', 'Pizza', 'Breakfast & Brunch', 'Burgers', 'Restaurants']",4.0
SknYYIK1rBNgYqNl4tYUPA,Marias Taco Shop,"['Restaurants', 'Mexican']",3.5
Z1HnNAGBt0y9uZX1a1_9sQ,Subway,"['Food', 'Fast Food', 'Sandwiches', 'Restaurants']",3.0
5qK5rJxwo0cjP3vTf3lkSA,Little Caesars Pizza,"['Restaurants', 'Pizza']",1.5
j2w6wlRmlaZaaErQus8ElQ,Pita House,"['Restaurants', 'Vegan', 'Mediterranean']",4.5
9hNuOUywLPHdSbAXtQ9DhQ,Slices Pizzeria,"['Restaurants', 'Pizza']",3.0
tfg08x88Mr4nEr8_bVal7w,Restaurante Guadalajara,"['Vegetarian', 'Seafood', 'Mexican', 'Restaurants']",4.5
mjhwLcuoenVW8oFhcNmlHA,Claim Jumper,"['American (New)', 'Restaurants']",3.0
1BtNZszIr8LvtPOhN0X4Mw,Gold Mine Bar & Grill,"['American (Traditional)', 'Bars', 'Nightlife', 'Restaurants']",2.5
HiqYus6muaBFlZtHhES7XQ,Del Taco,"['Restaurants', 'Mexican', 'Fast Food']",2.0
7Xw_vv-ekUL2sTqipnKT0g,Buffalo Wild Wings,"['Chicken Wings', 'Nightlife', 'Sports Bars', 'Restaurants', 'American (Traditional)', 'Bars', 'Barbeque']",2.5
ZhLSAiRj9kANxf8m2SBfRA,Lucki Thai,"['Thai', 'Local Flavor', 'Restaurants']",4.5
NQXuoB9JTPUItHvouMgWjQ,Violette's Vegan Organic Cafe & Juice Bar,"['Juice Bars & Smoothies', 'Vegetarian', 'Vegan', 'Restaurants', 'Food']",4.0
OMUe6NNOFEe0VdAouIqAuA,Sofia's Cafe,"['Soup', 'Pizza', 'Restaurants', 'Mediterranean', 'Italian']",3.5
RslaL6v-H9e3o2R-WrJKpA,Nour Deli And Bakery,"['Bakeries', 'Mediterranean', 'Food', 'Restaurants']",4.0
mvMih24zuSw_dZyU_LEY7g,Pizza Hut,"['Pizza', 'Restaurants', 'Chicken Wings']",2.5
k-oXgIdQlBe9rn8rWfRUdw,Famous Philly Steak & Gyro,"['Mediterranean', 'Restaurants', 'Cheesesteaks']",4.5
S1N5-ZXwR4fUIPs6dLnBYQ,Hue Thai,"['Restaurants', 'Vietnamese', 'Chinese', 'Thai']",3.5
HV2vPReKp0n0E6zgjsu4Mg,Garnachas Mexican Street Food,"['Beer', 'Wine & Spirits', 'Food', 'Mexican', 'Restaurants']",4.5
Zrx25j1M794Nh8fUGB8E9A,TGI Fridays,"['Bars', 'Seafood', 'Nightlife', 'Restaurants', 'American (Traditional)']",2.5
xVlj8zOeyGMXpZpdbJj7Rw,Korean Delicious Restaurant,"['Korean', 'Restaurants']",3.0
GRLHdCXzmFCBbvvjRxXnrA,Dinner in the Sky,"['Restaurants', 'American (New)']",3.5
GStieDpK7oi2pXggQXi-Kg,Wienerschnitzel,"['Hot Dogs', 'Sandwiches', 'Fast Food', 'Restaurants']",3.0
QS7_BPmaBNvznOMhcVBemg,Silk Road Asian Bistro,"['Chinese', 'Ramen', 'Japanese', 'Barbeque', 'Restaurants', 'Vietnamese']",3.0
zEd3Ex_k3vHiBbBPWRrO7Q,Panda Express,"['Fast Food', 'Chinese', 'Restaurants']",2.5
9edPSkfXKsJmkZYIaOmA7Q,Las Vegas South Premium Outlets,"['Shopping', 'Restaurants', 'Shopping Centers', 'Fashion', 'Outlet Stores']",3.5
Wlcl0ITWjyhqCiSlPmSAlg,Billy Bob's Steakhouse,"['Restaurants', 'Steakhouses']",3.0
F2HKV9oJhnIKQ-M4Gt4Ftg,Voodoo Wing Company,"['Food', 'Barbeque', 'Chicken Wings', 'Restaurants']",4.0
uHUcYpGlcdlu5m7oiZGY6w,Max's Restaurant,"['Restaurants', 'Seafood', 'Filipino', 'Breakfast & Brunch', 'Asian Fusion']",3.0
5JjGTaZkHbbjBrzBODcsAQ,Daisho Sushi,"['Salad', 'Japanese', 'Sushi Bars', 'Restaurants']",4.0
etzDsNjkCyQBoJcU2a3U-g,Denny's,"['American (Traditional)', 'Diners', 'Restaurants', 'Breakfast & Brunch']",3.0
GT9Hx_Na0vH3Na7ym9dp4A,Shooters Bar & Grill,"['Pizza', 'Chicken Wings', 'Restaurants', 'American (Traditional)', 'Pubs', 'Bars', 'Nightlife']",4.0
hh-N1r9O1JpvzGw1mp0bKw,Rock'N'oodles,"['Noodles', 'Food', 'American (New)', 'Italian', 'Local Flavor', 'Salad', 'Restaurants']",4.5
2LZGeJy8qByYKB71ML-jcw,Rock & Rita's,"['American (Traditional)', 'Barbeque', 'American (New)', 'Restaurants']",2.5
mZI_wVrLOjz4M-QIC9n-jA,PT's,"['Bars', 'Sports Bars', 'Pubs', 'Restaurants', 'American (New)', 'Nightlife']",2.5
FNe5PPA9pyj8FjcDefCBpg,Weera Thai Restaurant,"['Thai', 'Restaurants', 'Food', 'Bars', 'Food Delivery Services', 'Noodles', 'Vegetarian', 'Beer', 'Wine & Spirits', 'Nightlife', 'Beer Bar', 'Wine Bars']",4.0
Xgp67egWT56FmGrULkKOJg,Subway,"['Sandwiches', 'Fast Food', 'Restaurants']",2.5
z65wZ11iw7Y-WBZ9UDZhnA,Pisa Pizza,"['Restaurants', 'Pizza']",4.0
5OLtY1-xR6LjeH3kJGJ5UA,Scentz N Sudz,"['Shopping', 'Restaurants', 'Beauty & Spas', 'South African', 'Personal Shopping', 'African', 'Cosmetics & Beauty Supply']",4.5
kQabQnNavQ7FgfyuXf8Niw,Papa Murphy's,"['Restaurants', 'Pizza', 'Gluten-Free', 'Salad']",3.5
TW58a4UkMcksdfQ7znUqsA,Doh Korean BBQ,"['Restaurants', 'Barbeque', 'Korean']",4.0
EqUlVPI8t9A96BIvWdW1pw,Joey's Tavern,"['Bars', 'American (New)', 'Restaurants', 'Nightlife']",3.5
SWZ_GqiaAoc4JoUOosF0mg,The Sugar Corner,"['Restaurants', 'Bakeries', 'Cuban', 'Ethnic Food', 'Food', 'Specialty Food', 'Latin American', 'Breakfast & Brunch']",4.0
m5niZy68d2gTtVWz89elfA,Slidin Thru,"['Restaurants', 'Food Trucks', 'Food Stands', 'Food', 'Burgers']",4.0
rYG3Bbsf3u2P4N4ZxQXyKw,Bachi Healthy Life Kitchen,"['Breakfast & Brunch', 'Restaurants', 'Food']",3.5
UANNbspNsQEFUay5nALZYw,Roberto's Taco Shop,"['Mexican', 'Restaurants', 'Fast Food']",3.0
3CxiP8n7DAL-YOOTCW2wNw,Jack in the Box,"['Restaurants', 'Fast Food']",2.5
WyyJdVQBFlPVITTmjgEhlQ,Paisanos Pizza,"['Pizza', 'Restaurants']",1.5
YHN7wVaOFp9wkl_w7NXLXw,Kens Burgers and Pizza,"['Restaurants', 'Pizza', 'Burgers']",1.0
SN6mvy2vbXL0F_CYFkx8zg,La Scala,"['Restaurants', 'Italian']",4.0
OVTZNSkSfbl3gVB9XQIJfw,Cravings Buffet,"['American (Traditional)', 'Buffets', 'Restaurants', 'American (New)']",3.0
JDZ6_yycNQFTpUZzLIKHUg,El Dorado Cantina,"['Lounges', 'Mexican', 'Restaurants', 'Bars', 'Nightlife']",4.0
O0DxNujKaN-KIfcgbV3MgA,Pollo Inka Express,"['Restaurants', 'Peruvian', 'Latin American', 'Fast Food']",4.0
riFzCvp77DMKDX-5GoTpqA,Steak 'n Shake,"['Restaurants', 'Food', 'Fast Food', 'Burgers']",3.5
E35tgfjzj5P5PV_w7Kgu8w,Wildburger,"['Burgers', 'Bars', 'Nightlife', 'American (New)', 'Restaurants']",4.0
IRzXVRIzRoYpnjaVXF3vNA,Northside Café and Chinese Kitchen,"['Restaurants', 'Diners', 'Breakfast & Brunch', 'Cafes']",3.5
S_PEroRv40j1In11gNH2LQ,Five Guys,"['Restaurants', 'Fast Food', 'Burgers']",4.0
HcFNeUjeqzhHw1Lk0FZarg,Jersey's Bar & Grill,"['Restaurants', 'Sports Bars', 'Bars', 'American (Traditional)', 'Nightlife']",4.0
GSzgEBYd1hYebz1xi5jrmw,Domino's Pizza,"['Chicken Wings', 'Sandwiches', 'Pizza', 'Restaurants']",4.0
JIfSollg32ifUzTw2K4PDQ,Taqueria El Buen Pastor,"['Street Vendors', 'Mexican', 'Food', 'Restaurants']",4.5
jjJ06LdxITpFaz_EQaEvWQ,Vegas Drink And Grill,"['Restaurants', 'American (Traditional)']",2.5
ZGwOOa93pc5hnsCLUgJJpQ,Subway,"['Restaurants', 'Fast Food', 'Sandwiches']",3.0
zp-K5s3pGTWuuaVBWo6WZA,HoneyBaked Ham,"['Specialty Food', 'Sandwiches', 'Restaurants', 'Delis', 'Cafes', 'Meat Shops', 'Event Planning & Services', 'Food', 'Caterers']",4.0
ym5FOqL6tGbgynzwKMHZuw,Crab Corner,"['Sports Bars', 'Restaurants', 'Bars', 'Nightlife', 'Seafood']",3.5
nupAsas-_hc8225O_5APMQ,Harold's Chicken & Fish,"['Restaurants', 'American (Traditional)']",3.5
hdZ_4Vd9opGm5UajNUuhwA,NYP- Pizzeria,"['Italian', 'Pizza', 'Restaurants']",3.5
2Y7voMZLcJ4YYC8_UjEuPg,KFC,"['Fast Food', 'Restaurants', 'Chicken Wings']",1.5
P7Dqa0IbcFgRZ1aK7CPAOw,McDonald's,"['Burgers', 'Fast Food', 'Restaurants']",2.0
8fjF2NIPSM0Ar1hed2tdog,Gilligan's HideAway,"['Restaurants', 'Pizza', 'Nightlife', 'Sandwiches', 'Bars', 'American (New)', 'American (Traditional)']",4.5
LCf4MZQcwgtniQUJ-MQBZA,Blue Ox East Restaurant & Lounge,"['Nightlife', 'Bars', 'American (Traditional)', 'Restaurants']",4.0
alFchsneD8P49cy7aL_TMA,Won Mi,"['Korean', 'Restaurants']",4.0
JPWg9acsCv_om9UFYGMJbA,Fleming's Prime Steakhouse & Wine Bar,"['Nightlife', 'Breakfast & Brunch', 'Restaurants', 'Wine Bars', 'Bars', 'Seafood', 'Steakhouses']",4.0
0IbboCQAEQlROAv5PKKO_Q,Aloha Island Grill,"['Hawaiian', 'Restaurants']",4.5
ixGcDkuUrkAlRuqf42nbEA,Port of Subs,"['Restaurants', 'Delis', 'Sandwiches']",3.5
-QNQ4R1VgRoL4b6lC8Anrg,Mizuya,"['Sushi Bars', 'Bars', 'Japanese', 'Restaurants', 'Nightlife', 'Lounges']",3.0
G-5kEa6E6PD5fkBRuA7k9Q,Giada,"['Italian', 'Restaurants']",3.5
0Tutx9JhCi_HE6MUnbh5vw,Sexy Lexy Kitchen,"['American (Traditional)', 'Soul Food', 'Bakeries', 'Restaurants', 'Food', 'Caterers', 'Event Planning & Services']",3.5
U-Uj13i0RkwgZ8e7I4Lf8w,Original Chicken Tender,"['Fast Food', 'Restaurants', 'Chicken Wings', 'Cheesesteaks', 'American (New)', 'Hot Dogs']",3.5
NkuLKJJE_KxcxKs8Kj8thQ,Sushi Yamaguchi,"['Japanese', 'Sushi Bars', 'Restaurants']",4.0
TZM4eiv3CtR9CBPtknXgDw,Sweet Chill,"['Food', 'Restaurants', 'Desserts', 'Sandwiches', 'Ice Cream & Frozen Yogurt']",3.5
nKbuoq0Kqdv0tSLFJhwFVQ,Bajio Mexican Grill,"['Restaurants', 'Mexican']",3.5
Kh1tvb7vDDp84bxdYyiOEA,Pablo's Kitchen,"['Food Trucks', 'Restaurants', 'Event Planning & Services', 'Mexican', 'Caterers', 'Food']",5.0
vjhB95c5nOXflNoyq_jKzw,Nacho Daddy Henderson,"['Nightlife', 'Mexican', 'Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Pubs', 'Food', 'Breakfast & Brunch', 'American (New)']",3.5
kaFItSnFuTSpmohv2jDbrQ,McDonald's,"['Fast Food', 'Burgers', 'Restaurants']",2.0
8bZ49zy4KlFVu5teFETYhQ,Go Wild Sushi & Grill,"['Sushi Bars', 'Japanese', 'Restaurants']",3.5
gKPGer8_b532vRzEjsXQxA,Strings Italian Cafe,"['Restaurants', 'Italian']",3.5
WRbBmXMHmdWOkeGp21OoeA,Mamma Olivia,"['Restaurants', 'Italian', 'Pizza']",5.0
e--8ev5DbM_5cbveVTWAEg,Max Cooking Mediterranean Experience,"['Restaurants', 'Event Planning & Services', 'Vegetarian', 'Personal Chefs', 'Tapas Bars', 'Salad', 'Mediterranean']",5.0
